,species,BirdID_char,Trait,cycle_length,Photoperiod,deviation,cyclenr_char,Reference
319,Phylloscopus collybita,8,moult autumn,335,12:12 LD,-30,0,Gwinner  1971
320,Phylloscopus trochilus,gelb,moult spring,315,12:12 LD,-50,0,Gwinner 1968
321,Phylloscopus trochilus,6,autumn zugunruhe,335,12:12 LD,-30,0,Gwinner  1971
322,Phylloscopus trochilus,7,autumn zugunruhe,365,12:12 LD,0,0,Gwinner  1971
323,Phylloscopus trochilus,8,autumn zugunruhe,335,12:12 LD,-30,0,Gwinner  1971
324,Phylloscopus trochilus,9,autumn zugunruhe,350,12:12 LD,-15,0,Gwinner  1971
325,Phylloscopus trochilus,gelb,moult spring,315,12:12 LD,-50,1,Gwinner  1968
326,Phylloscopus trochilus,gelb,moult autumn,328,12:12 LD,-37,1,Gwinner  1968
327,Phylloscopus trochilus,rosa,moult spring,386,12:12 LD,21,0,Gwinner  1968
328,Phylloscopus trochilus,rosa,moult spring,323,12:12 LD,-42,1,Gwinner  1968
329,Phylloscopus trochilus,rosa,moult autumn,375,12:12 LD,10,1,Gwinner  1968
330,Saxicola torquata rubicola,1,gonad size,395,12.25:11.75 LD,30,1,Helm et al. 2009
331,Saxicola torquata rubicola,2,gonad size,320,12.25:11.75 LD,-45,1,Helm et al. 2009
332,Saxicola torquata rubicola,3,gonad size,320,12.25:11.75 LD,-45,1,Helm et al. 2009
333,Saxicola torquata rubicola,4,gonad size,290,12.25:11.75 LD,-75,1,Helm et al. 2009
334,Saxicola torquata rubicola,5,gonad size,335,12.25:11.75 LD,-30,1,Helm et al. 2009
335,Saxicola torquata rubicola,6,gonad size,320,12.25:11.75 LD,-45,1,Helm et al. 2009
336,Saxicola torquata rubicola,7,gonad size,335,12.25:11.75 LD,-30,1,Helm et al. 2009
337,Saxicola torquata rubicola,8,gonad size,380,12.25:11.75 LD,15,1,Helm et al. 2009
338,Saxicola torquata rubicola,9,gonad size,320,12.25:11.75 LD,-45,1,Helm et al. 2009
339,Sturnus vulgaris,I11,testis size,335,12:12 LD,-30,1,Gwinner 1981
340,Sturnus vulgaris,I12,testis size,320,12:12 LD,-45,1,Gwinner 1981
341,Sturnus vulgaris,I13,testis size,340,12:12 LD,-25,1,Gwinner 1981
342,Sturnus vulgaris,I14,testis size,485,12:12 LD,120,1,Gwinner 1981
343,Sturnus vulgaris,I15,testis size,410,12:12 LD,45,1,Gwinner 1981
344,Sturnus vulgaris,I11,breeding activity,305,12:12 LD,-60,1,Gwinner 1981
345,Sturnus vulgaris,I12,breeding activity,365,12:12 LD,0,1,Gwinner 1981
346,Sturnus vulgaris,I13,breeding activity,425,12:12 LD,60,1,Gwinner 1981
347,Sturnus vulgaris,I15,breeding activity,425,12:12 LD,60,1,Gwinner 1981
348,Sturnus vulgaris,I17,breeding activity,485,12:12 LD,120,1,Gwinner 1981
349,Sturnus vulgaris,I11,moult autumn,410,12:12 LD,45,1,Gwinner 1981
350,Sturnus vulgaris,I12,moult autumn,425,12:12 LD,60,1,Gwinner 1981
351,Sturnus vulgaris,I13,moult autumn,395,12:12 LD,30,1,Gwinner 1981
352,Sturnus vulgaris,I14,moult autumn,515,12:12 LD,150,1,Gwinner 1981
353,Sturnus vulgaris,I15,moult autumn,575,12:12 LD,210,1,Gwinner 1981
354,Sturnus vulgaris,I16,moult autumn,470,12:12 LD,105,1,Gwinner 1981
355,Sturnus vulgaris,I17,moult autumn,380,12:12 LD,15,1,Gwinner 1981
356,Sturnus vulgaris,I23,testis size,395,12:12 LD,30,1,Gwinner 1981
357,Sturnus vulgaris,I24,testis size,425,12:12 LD,60,1,Gwinner 1981
358,Sturnus vulgaris,I23,breeding activity,395,12:12 LD,30,1,Gwinner 1981
359,Sturnus vulgaris,I22,moult autumn,440,12:12 LD,75,1,Gwinner 1981
360,Sturnus vulgaris,I23,moult autumn,470,12:12 LD,105,1,Gwinner 1981
361,Sturnus vulgaris,I25,moult autumn,485,12:12 LD,120,1,Gwinner 1981
362,Sturnus vulgaris,I31,testis size,305,12:12 LD,-60,1,Gwinner 1981
363,Sturnus vulgaris,I32,testis size,290,12:12 LD,-75,1,Gwinner 1981
364,Sturnus vulgaris,I33,testis size,305,12:12 LD,-60,1,Gwinner 1981
365,Sturnus vulgaris,I34,testis size,305,12:12 LD,-60,1,Gwinner 1981
366,Sturnus vulgaris,I35,testis size,275,12:12 LD,-90,1,Gwinner 1981
367,Sturnus vulgaris,I33,breeding activity,335,12:12 LD,-30,1,Gwinner 1981
368,Sturnus vulgaris,I34,breeding activity,410,12:12 LD,45,1,Gwinner 1981
369,Sturnus vulgaris,I35,breeding activity,275,12:12 LD,-90,1,Gwinner 1981
370,Sturnus vulgaris,I37,breeding activity,290,12:12 LD,-75,1,Gwinner 1981
371,Sturnus vulgaris,I31,moult autumn,455,12:12 LD,90,1,Gwinner 1981
372,Sturnus vulgaris,I32,moult autumn,455,12:12 LD,90,1,Gwinner 1981
373,Sturnus vulgaris,I33,moult autumn,440,12:12 LD,75,1,Gwinner 1981
374,Sturnus vulgaris,I34,moult autumn,470,12:12 LD,105,1,Gwinner 1981
375,Sturnus vulgaris,I35,moult autumn,425,12:12 LD,60,1,Gwinner 1981
376,Sturnus vulgaris,I38,moult autumn,440,12:12 LD,75,1,Gwinner 1981
377,Sylvia atricapilla,m2,testis size,320,12:12 LD,-45,1,Berthold et al. 1972b
378,Sylvia atricapilla,m2,moult spring,310,12:12 LD,-55,1,Berthold et al. 1972b
379,Sylvia atricapilla,m4,testis size,260,12:12 LD,-105,1,Berthold et al. 1972b
380,Sylvia atricapilla,m4,moult spring,335,12:12 LD,-30,1,Berthold et al. 1972b
381,Sylvia atricapilla,m4,moult autumn,350,12:12 LD,-15,1,Berthold et al. 1972b
382,Sylvia atricapilla,m5,moult spring,335,12:12 LD,-30,1,Berthold et al. 1972b
383,Sylvia atricapilla,m5,moult autumn,295,12:12 LD,-70,1,Berthold et al. 1972b
384,Sylvia atricapilla,m8,moult spring,320,12:12 LD,-45,1,Berthold et al. 1972b
385,Sylvia atricapilla,m8,moult autumn,295,12:12 LD,-70,1,Berthold et al. 1972b
386,Sylvia borin,1,testis size,320,12:12 LD,-45,1,Berthold et al. 1972b
387,Sylvia borin,1,spring body mass,265,12:12 LD,-100,1,Berthold et al. 1972b
388,Sylvia borin,1,autumn body mass,315,12:12 LD,-50,1,Berthold et al. 1972b
389,Sylvia borin,1,testis size,380,12:12 LD,15,1,Gwinner 1981
390,Sylvia borin,2,testis size,275,12:12 LD,-90,1,Gwinner 1981
391,Sylvia borin,3,testis size,395,12:12 LD,30,1,Gwinner 1981
392,Sylvia borin,4,testis size,425,12:12 LD,60,1,Gwinner 1981
